id	population	generation	mid	fid	gv1	pv1	gv2	pv2	gv	pv	generationPlotShift
1	A	0	0	0	-2.09044435167707	-5.20336717116823	0.936369143546643	3.11068087239527	-0.398929557993849	-0.417724084386936	-0.25
2	A	0	0	0	-1.28225073323937	-1.41768623758878	-0.125179363794321	-2.0569519840893	-0.417189564009324	-0.507112803618286	-0.25
3	A	0	0	0	-1.63745923869319	-4.89828382114313	0.782160529901048	0.0305606697088321	-0.386148530761085	-0.557967445341845	-0.25
4	A	0	0	0	-0.283252769515255	0.175408880702123	-0.56344563414644	1.17996380434856	-0.394129245309034	-0.274443175951986	-0.25
5	A	0	0	0	0.892492227461359	-0.866486320473151	1.21945673758025	-1.07479505393036	-0.246960430025181	-0.433492963170171	-0.25
6	A	0	0	0	1.06960741607987	1.14954256159368	-0.125576101067086	2.23364913650693	-0.309046532467234	-0.178402146907469	-0.25
7	A	0	0	0	-0.868748517036321	-1.84021657248708	-0.352537044513411	-1.91471782928693	-0.410043911403119	-0.518839418573075	-0.25
8	A	0	0	0	0.316863191163789	-1.29080225480974	-0.281260147948275	-1.84612174524336	-0.351794956461351	-0.490927906939763	-0.25
9	A	0	0	0	-0.871345876694621	-1.04512997803934	-0.180876964451376	-1.09793809483308	-0.401200023175744	-0.442610368074378	-0.25
10	A	0	0	0	-0.830731467365798	0.467688965100974	-0.894940330483917	0.70020009260774	-0.436617418843194	-0.285379609889709	-0.25
11	A	0	0	0	-0.775342377092447	-1.01456468943395	-1.08955057881596	-2.01264383647452	-0.4442317331434	-0.486934117847622	-0.25
12	A	0	0	0	-0.232808505270955	0.766877839238562	-0.664024734940256	-0.866439993166006	-0.397061078371368	-0.350293320322373	-0.25
13	A	0	0	0	0.365933551433773	1.04758137463701	1.69451366945216	4.16251471247718	-0.246371857749457	-0.08660698133902	-0.25
14	A	0	0	0	-1.77462846678782	-0.856393653443042	-0.764117933011143	1.45619919366889	-0.473196984100836	-0.306630016990365	-0.25
15	A	0	0	0	1.49585663008925	1.94176798957593	-0.782364201016434	0.0955989808819634	-0.323737624485735	-0.24988267483099	-0.25
16	A	0	0	0	-0.180434133613208	-0.0577444260544588	-0.186538968299748	-1.95634234544179	-0.369720111135609	-0.441480063373534	-0.25
17	A	0	0	0	0.763673045284056	2.20401424183394	0.154009351840665	-0.507561653329249	-0.308517950832266	-0.268320796253979	-0.25
18	A	0	0	0	-0.275251900567919	-1.53369894340505	-0.999283378616044	-0.712542504576579	-0.416518830671055	-0.445135133891169	-0.25
19	A	0	0	0	-0.398668658614811	0.429227295639247	0.973854551443453	0.804079911920195	-0.319166180467506	-0.281905321228282	-0.25
20	A	0	0	0	0.138726719644159	0.0344323160008756	-1.52460494283776	-0.158189957256576	-0.424909645937812	-0.347561479393566	-0.25
21	A	0	0	0	-0.240711670484465	-2.86899804088738	-0.278726251489232	0.936119545666002	-0.377305939939178	-0.422300435073075	-0.25
22	A	0	0	0	-0.488197121727169	0.227419439700171	1.36734930603828	3.19984502109376	-0.302737078019707	-0.171240175399016	-0.25
23	A	0	0	0	0.911256959092864	-0.677715572547407	-0.0974677404386135	-1.08781042777688	-0.314861494242305	-0.425730200294489	-0.25
24	A	0	0	0	0.433220411144446	0.776545949879344	-0.333005772512931	-0.673745810888468	-0.349145530754514	-0.340238135312756	-0.25
25	A	0	0	0	-1.29767512049466	-1.47642209831018	-0.3853228365634	-0.413538529504967	-0.431482504026975	-0.427648446127839	-0.25
26	A	0	0	0	0.73679051813197	0.876097436177968	-0.608118100157003	0.51795444407632	-0.349549279536408	-0.276280771182387	-0.25
27	A	0	0	0	-1.59978072572214	0.597871647525544	0.374783358729614	-1.43232822603058	-0.4056871313188	-0.3860891940065	-0.25
28	A	0	0	0	0.371808543947214	4.61480629088212	1.00874858779783	0.353912167045085	-0.281909332321482	-0.117853305920997	-0.25
29	A	0	0	0	-1.41406028501128	1.0071274778194	1.45617104557278	2.45339719553883	-0.340680345102217	-0.173773525539716	-0.25
30	A	0	0	0	0.279701414789796	3.89598361158256	-0.898542372943454	-1.25336732991553	-0.385735847889979	-0.230165886310823	-0.25
31	A	0	0	0	1.10080988072788	2.41220012536574	1.41684460869866	2.26696174767478	-0.227073006372238	-0.120466234003545	-0.25
32	A	0	0	0	-0.898329571885634	-1.30967789904759	-1.0278771459129	0.236015173721306	-0.446667689468968	-0.387774621918519	-0.25
33	A	0	0	0	0.86610062421046	2.96513219631531	-1.3635407264658	-2.99431710617595	-0.383047093247615	-0.358604122192688	-0.25
34	A	0	0	0	-0.103352719318794	-1.15530733400561	-1.71548468448532	-0.739731067927907	-0.446009973612516	-0.429629549967351	-0.25
35	A	0	0	0	0.109322462765439	1.07140873690731	-0.815284021435427	2.67975532611086	-0.38922431665383	-0.159603049001063	-0.25
36	A	0	0	0	0.76728521039834	2.22943847942239	-0.637059315456236	-2.82071668504866	-0.349657989802962	-0.382720675210001	-0.25
37	A	0	0	0	2.24663056260564	4.82846157275381	-0.624155618248853	1.50158074093682	-0.28094799545566	-0.05100995673598	-0.25
